ja,en
個性と個性がぶつかり合う全力系アイドルユニット。\n全身全霊でアイドル道を突き進む彼女達の姿こそ、"クライマックス"の証。\nファンもプロデューサーも世界も巻き込んでアイドル界のてっぺんを目指す！！,"A full-power unit where unique personalities collide. Each of them\nplunges forward with complete devotion on the path of an idol,\nbearing the emblem of 'Climax'.\nThese idols will engulf the world as they aim for the very top!!"
ポップでハッピーな3人組アイドルユニット。\nアルストロメリアの花言葉「未来への憧れ」を胸に抱き、\n今日もシアワセなパフォーマンスで会場に笑顔を咲かせます！,"A happy Pop unit of three idols. They embrace the symbolism of the\nAlstromeria flower, 'longing for the future'. Their smiles will\nnow bloom in the venue of their wonderful performance!"
実在と非実在を行き来するカリスマ的アイドルユニット。\nアイドルというアバターを身に纏い、歌うは真実か、狂気か。\n解き放たれた迷光が、今日も世界を奔る。,"A charismatic unit that moves between reality and fiction. Garbed in\nthe avatar known as idol, is it truth or madness they sing?\nThe straying lights they unleash shake the world today."
幼なじみ４人で結成された、透明感あふれるアイドルユニット\n誰かになる必要なんてない――\n走り出す波を追って、少女たちは碧い風になる,"Formed from four childhood friends, a unit brimming with a sense of\ntranslucence. They don't have to be someone.\nChasing the breaking waves, the girls become azure winds."
櫻木真乃,Mano Sakuragi
風野灯織,Hiori Kazano
八宮めぐる,Meguru Hachimiya
月岡恋鐘,Kogane Tsukioka
田中摩美々,Mamimi Tanaka
白瀬咲耶,Sakuya Shirase
三峰結華,Yuika Mitsumine
幽谷霧子,Kiriko Yukoku
小宮果穂,Kaho Komiya
園田智代子,Chiyoko Sonoda
西城樹里,Juri Saijo
杜野凛世,Rinze Morino
有栖川夏葉,Natsuha Arisugawa
大崎甘奈,Amana Osaki
大崎甜花,Tenka Osaki
桑山千雪,Chiyuki Kuwayama
芹沢あさひ,Asahi Serizawa
黛冬優子,Fuyuko Mayuzumi
和泉愛依,Mei Izumi
浅倉透,Toru Asakura
樋口円香,Madoka Higuchi
福丸小糸,Koito Fukumaru
市川雛菜,Hinana Ichikawa
なまえ,Name
ユニット,Unit
身長,Hgt
スリーサイズ,Three Size
出身地,POB
趣味,Hobby
特技,Skill
年齢,Age
誕生日,Birth
体重,Wgt
血液型,Blood
星座,Sign
利き手,Hand
初心者ミッションを進めていくと上記のサポートアイドルが手に入ります,You'll receive these support idols by completing beginner missions.
のアイドル5人に来てもらいました♪,of 5 support idols will come♪
Danceタイプ,Dance Set
Visualタイプ,Visual Set
Vocalタイプ,Vocal Set
初心者ミッション開始確認,Start Beginner Mission Confirm
選択したプロデュースアイドルでは\n以下のサポートアイドルが手に入ります\n初心者ミッションを開始しますか？,If you choose to produce this idol you\nwill receive the below support idols.\nStart the beginner missions?
初心者ミッション開始後に選びなおすことはできません,Once you start the missions you can't re-select
スピードくじ,Speed Lotto
難易度とレベルを選択してください,Please select difficulty level
推奨ランク,Rec Rank
初めにプロデュースするアイドルを選んであげてください♪\nチュートリアル後には他のアイドルもプロデュースできますよ～,First please choose the idol you'd like to produce♪\nAfter the tutorial you can choose a different idol~
プロデュースアイドル確認,Confirm Idol
櫻木真乃で\nチュートリアルを開始しますか？,Start the tutorial with\nMano Sakuragi?
プロデューサーさん、アイドルの体力が減っている事に\n気付きましたか？,"Producer, did you notice your idol's\nStamina decreased?"
まれに、朝、アイドルから話しかけられることがありますよ,"Morning conversations can pop up."
事務所ではアイドルとコミュニケーションを取ることが\nできるんですよ,You're able to communicate with your idol\r\nin the office.
まずは、1つ目の「スキル」選択してみましょう～,"First, let's choose the skill here~"
選択した「スキル」と同じジャンルの\n「担当審査員」に使うと『好印象』を得られますので\n覚えておいてくださいね～,"Choosing a judge with the same specialty\nas your skill will get a good reaction.\nPlease keep this in mind~"
２ターン目はこちらの「スキル」を\n選択してみてください,"For turn 2 please choose\nthis skill."
３ターン目はこちらの「スキル」を\n選択してみてください,"For turn 3 please choose\nthis skill."
真乃,Mano
灯織,Hiori
めぐる,Meguru
恋鐘,Kogane
摩美々,Mamimi
咲耶,Sakuya
結華,Yuika
霧子,Kiriko
果穂,Kaho
智代子,Chiyoko
樹里,Juri
凛世,Rinze
夏葉,Natsuha
甘奈,Amana
甜花,Tenka
千雪,Chiyuki
あさひ,Asahi
優子,Fuyuko
愛依,Mei
透,Toru
円香,Madoka
小糸,Koito
雛菜,Hinana
利用規約とプライバシーポリシーに同意してから\n本サービスをご利用ください。\nまた、未成年の方は、法定代理人（ご両親等）の\n同意が必要です。,"Please agree to the Terms of Service and\nPrivacy Policy to use this service.\nIf you are a minor, you will need\na legal guardian's approval."
これによりLINEへの自動投稿が許可されることはありません,This won't allow automated posting on LINE
アカウント認証するとenzaユーザーアカウントが作成されます,Authenticating the account will create an enza account
すでに連携済のデータがある場合、現在のゲームデータは連携されずに消去されます,"If an account is already linked, the current game data will be erased"
すでにenzaアカウントをお持ちの方はこちら,Click here if you already have an enza account
風野灯織で\nチュートリアルを開始しますか？,Start the tutorial with\nHiori Kazano?
八宮めぐるで\nチュートリアルを開始しますか？,Start the tutorial with\nMeguru Hachimiya?
月岡恋鐘で\nチュートリアルを開始しますか？,Start the tutorial with\nKogane Tsukioka?
田中摩美々で\nチュートリアルを開始しますか？,Start the tutorial with\nMamimi Tanaka?
白瀬咲耶で\nチュートリアルを開始しますか？,Start the tutorial with\nSakuya Shirase?
三峰結華で\nチュートリアルを開始しますか？,Start the tutorial with\nYuika Mitsumine?
幽谷霧子で\nチュートリアルを開始しますか？,Start the tutorial with\nKiriko Yukoku?
小宮果穂で\nチュートリアルを開始しますか？,Start the tutorial with\nKaho Komiya?
園田智代子で\nチュートリアルを開始しますか？,Start the tutorial with\nChiyoko Sonoda?
西城樹里で\nチュートリアルを開始しますか？,Start the tutorial with\nJuri Saijo?
杜野凛世で\nチュートリアルを開始しますか？,Start the tutorial with\nRinze Morino?
有栖川夏葉で\nチュートリアルを開始しますか？,Start the tutorial with\nNatsuha Arisugawa?
大崎甘奈で\nチュートリアルを開始しますか？,Start the tutorial with\nAmana Osaki?
大崎甜花で\nチュートリアルを開始しますか？,Start the tutorial with\nTenka Osaki?
桑山千雪で\nチュートリアルを開始しますか？,Start the tutorial with\nChiyuki Kuwayama?
芹沢あさひで\nチュートリアルを開始しますか？,Start the tutorial with\nAsahi Serizawa?
黛冬優子で\nチュートリアルを開始しますか？,Start the tutorial with\nFuyuko Mayuzumi?
和泉愛依で\nチュートリアルを開始しますか？,Start the tutorial with\nMei Izumi?
浅倉透で\nチュートリアルを開始しますか？,Start the tutorial with\nToru Asakura?
樋口円香で\nチュートリアルを開始しますか？,Start the tutorial with\nMadoka Higuchi?
福丸小糸で\nチュートリアルを開始しますか？,Start the tutorial with\nKoito Fukumaru?
市川雛菜で\nチュートリアルを開始しますか？,Start the tutorial with\nHinana Ichikawa?
アイドルロード,Idol Road
ミッション達成数,Missions Cleared
ミッションをクリアして進めよう,Clear Missions to Move Forward
和泉愛依をホームユニットに編成しよう,Place Mei Izumi in your home unit
和泉愛依を1回プロデュースしよう,Produce Mei Izumi 1 time
和泉愛依を2回プロデュースしよう,Produce Mei Izumi 2 times
和泉愛依を3回プロデュースしよう,Produce Mei Izumi 3 times
和泉愛依を5回プロデュースしよう,Produce Mei Izumi 5 times
和泉愛依をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Mei Izumi
和泉愛依をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Mei Izumi
和泉愛依の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Mei Izumi
和泉愛依の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Mei Izumi
和泉愛依の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Mei Izumi
和泉愛依の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Mei Izumi
和泉愛依をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Mei Izumi as a Center, play Grade Fes Level 2 or above"
和泉愛依をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Mei Izumi as a Center, play Grade Fes Level 2 or above 3 times"
和泉愛依をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Mei Izumi as a Center, play Grade Fes Level 3 or above"
和泉愛依を含めた編成で営業を1回しよう,Have Mei Izumi complete 1 Job
和泉愛依を含めた編成で営業を5回しよう,Have Mei Izumi complete 5 Jobs
和泉愛依を含めた編成で営業を10回しよう,Have Mei Izumi complete 10 Jobs
和泉愛依を含めた編成で営業を20回しよう,Have Mei Izumi complete 20 Jobs
和泉愛依をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Mei Izumi with 400 or more Vocal
和泉愛依をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Mei Izumi with 400 or more Dance
和泉愛依をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Mei Izumi with 400 or more Visual
和泉愛依をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Mei Izumi with 400 or more Mental
和泉愛依をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Finals with Mei Izumi
和泉愛依をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans in one Produce run with Mei Izumi"
和泉愛依をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans in one Produce run with Mei Izumi"
和泉愛依をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans in one Produce run with Mei Izumi"
櫻木真乃をホームユニットに編成しよう,Place Mano Sakuragi in your home unit
櫻木真乃を1回プロデュースしよう,Produce Mano Sakuragi 1 time
櫻木真乃を2回プロデュースしよう,Produce Mano Sakuragi 2 times
櫻木真乃を3回プロデュースしよう,Produce Mano Sakuragi 3 times
櫻木真乃を5回プロデュースしよう,Produce Mano Sakuragi 5 times
櫻木真乃をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Mano Sakuragi
櫻木真乃をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Mano Sakuragi
櫻木真乃の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Mano Sakuragi
櫻木真乃の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Mano Sakuragi
櫻木真乃の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Mano Sakuragi
櫻木真乃の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Mano Sakuragi
櫻木真乃をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Mano Sakuragi as a Center, play Grade Fes Level 2 or above"
櫻木真乃をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Mano Sakuragi as a Center, play Grade Fes Level 2 or above 3 times"
櫻木真乃をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Mano Sakuragi as a Center, play Grade Fes Level 3 or above"
櫻木真乃を含めた編成で営業を1回しよう,Have Mano Sakuragi complete 1 Job
櫻木真乃を含めた編成で営業を5回しよう,Have Mano Sakuragi complete 5 Jobs
櫻木真乃を含めた編成で営業を10回しよう,Have Mano Sakuragi complete 10 Jobs
櫻木真乃を含めた編成で営業を20回しよう,Have Mano Sakuragi complete 20 Jobs
櫻木真乃をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Mano Sakuragi with 400 or more Vocal
櫻木真乃をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Mano Sakuragi with 400 or more Dance
櫻木真乃をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Mano Sakuragi with 400 or more Visual
櫻木真乃をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Mano Sakuragi with 400 or more Mental
櫻木真乃をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Finals with Mano Sakuragi
櫻木真乃をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans in one Produce run with Mano Sakuragi"
櫻木真乃をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans in one Produce run with Mano Sakuragi"
櫻木真乃をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans in one Produce run with Mano Sakuragi"
風野灯織をホームユニットに編成しよう,Place Hiori Kazano in your home unit
風野灯織を1回プロデュースしよう,Produce Hiori Kazano 1 time
風野灯織を2回プロデュースしよう,Produce Hiori Kazano 2 times
風野灯織を3回プロデュースしよう,Produce Hiori Kazano 3 times
風野灯織を5回プロデュースしよう,Produce Hiori Kazano 5 times
風野灯織をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Hiori Kazano
風野灯織をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Hiori Kazano
風野灯織の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Hiori Kazano
風野灯織の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Hiori Kazano
風野灯織の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Hiori Kazano
風野灯織の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Hiori Kazano
風野灯織をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Hiori Kazano as a Center, play Grade Fes Level 2 or above"
風野灯織をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Hiori Kazano as a Center, play Grade Fes Level 2 or above 3 times"
風野灯織をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Hiori Kazano as a Center, play Grade Fes Level 3 or above"
風野灯織を含めた編成で営業を1回しよう,Have Hiori Kazano complete 1 Job
風野灯織を含めた編成で営業を5回しよう,Have Hiori Kazano complete 5 Jobs
風野灯織を含めた編成で営業を10回しよう,Have Hiori Kazano complete 10 Jobs
風野灯織を含めた編成で営業を20回しよう,Have Hiori Kazano complete 20 Jobs
風野灯織をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Hiori Kazano with 400 or more Vocal
風野灯織をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Hiori Kazano with 400 or more Dance
風野灯織をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Hiori Kazano with 400 or more Visual
風野灯織をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Hiori Kazano with 400 or more Mental
風野灯織をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Finals with Hiori Kazano
風野灯織をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans in one Produce run with Hiori Kazano"
風野灯織をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans in one Produce run with Hiori Kazano"
風野灯織をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans in one Produce run with Hiori Kazano"
八宮めぐるをホームユニットに編成しよう,Place Meguru Hachimiya in your home unit
八宮めぐるを1回プロデュースしよう,Produce Meguru Hachimiya 1 time
八宮めぐるを2回プロデュースしよう,Produce Meguru Hachimiya 2 times
八宮めぐるを3回プロデュースしよう,Produce Meguru Hachimiya 3 times
八宮めぐるを5回プロデュースしよう,Produce Meguru Hachimiya 5 times
八宮めぐるをCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Meguru Hachimiya
八宮めぐるをBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Meguru Hachimiya
八宮めぐるの思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Meguru Hachimiya
八宮めぐるの思い出レベルを5にしよう,Reach Memory Appeal level 5 with Meguru Hachimiya
八宮めぐるの信頼度を３以上にしよう,Reach Trust Level 3 or higher with Meguru Hachimiya
八宮めぐるの信頼度を５以上にしよう,Reach Trust Level 5 or higher with Meguru Hachimiya
八宮めぐるをセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Meguru Hachimiya as a Center, play Grade Fes Level 2 or above"
八宮めぐるをセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Meguru Hachimiya as a Center, play Grade Fes Level 2 or above 3 times"
八宮めぐるをセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Meguru Hachimiya as a Center, play Grade Fes Level 3 or above"
八宮めぐるを含めた編成で営業を1回しよう,Have Meguru Hachimiya complete 1 Job
八宮めぐるを含めた編成で営業を5回しよう,Have Meguru Hachimiya complete 5 Jobs
八宮めぐるを含めた編成で営業を10回しよう,Have Meguru Hachimiya complete 10 Jobs
八宮めぐるを含めた編成で営業を20回しよう,Have Meguru Hachimiya complete 20 Jobs
八宮めぐるをプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Meguru Hachimiya with 400 or more Vocal
八宮めぐるをプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Meguru Hachimiya with 400 or more Dance
八宮めぐるをプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Meguru Hachimiya with 400 or more Visual
八宮めぐるをプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Meguru Hachimiya with 400 or more Mental
八宮めぐるをプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Finals with Meguru Hachimiya
八宮めぐるをプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans in one Produce run with Meguru Hachimiya"
八宮めぐるをプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans in one Produce run with Meguru Hachimiya"
八宮めぐるをプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans in one Produce run with Meguru Hachimiya"
月岡恋鐘をホームユニットに編成しよう,Place Kogane Tsukioka in your home unit
月岡恋鐘を1回プロデュースしよう,Produce Kogane Tsukioka 1 time
月岡恋鐘を2回プロデュースしよう,Produce Kogane Tsukioka 2 times
月岡恋鐘を3回プロデュースしよう,Produce Kogane Tsukioka 3 times
月岡恋鐘を5回プロデュースしよう,Produce Kogane Tsukioka 5 times
月岡恋鐘をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Kogane Tsukioka
月岡恋鐘をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Kogane Tsukioka
月岡恋鐘の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Kogane Tsukioka
月岡恋鐘の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Kogane Tsukioka
月岡恋鐘の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Kogane Tsukioka
月岡恋鐘の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Kogane Tsukioka
月岡恋鐘をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Kogane Tsukioka as a Center, play Grade Fes Level 2 or above"
月岡恋鐘をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Kogane Tsukioka as a Center, play Grade Fes Level 2 or above 3 times"
月岡恋鐘をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Kogane Tsukioka as a Center, play Grade Fes Level 3 or above"
月岡恋鐘を含めた編成で営業を1回しよう,Have Kogane Tsukioka complete 1 Job
月岡恋鐘を含めた編成で営業を5回しよう,Have Kogane Tsukioka complete 5 Jobs
月岡恋鐘を含めた編成で営業を10回しよう,Have Kogane Tsukioka complete 10 Jobs
月岡恋鐘を含めた編成で営業を20回しよう,Have Kogane Tsukioka complete 20 Jobs
月岡恋鐘をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Kogane Tsukioka with 400 or more Vocal
月岡恋鐘をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Kogane Tsukioka with 400 or more Dance
月岡恋鐘をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Kogane Tsukioka with 400 or more Visual
月岡恋鐘をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Kogane Tsukioka with 400 or more Mental
月岡恋鐘をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Finals with Kogane Tsukioka
月岡恋鐘をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans in one Produce run with Kogane Tsukioka"
月岡恋鐘をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans in one Produce run with Kogane Tsukioka"
月岡恋鐘をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans in one Produce run with Kogane Tsukioka"
田中摩美々をホームユニットに編成しよう,Place Mamimi Tanaka in your home unit
田中摩美々を1回プロデュースしよう,Produce Mamimi Tanaka 1 time
田中摩美々を2回プロデュースしよう,Produce Mamimi Tanaka 2 times
田中摩美々を3回プロデュースしよう,Produce Mamimi Tanaka 3 times
田中摩美々を5回プロデュースしよう,Produce Mamimi Tanaka 5 times
田中摩美々をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Mamimi Tanaka
田中摩美々をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Mamimi Tanaka
田中摩美々の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Mamimi Tanaka
田中摩美々の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Mamimi Tanaka
田中摩美々の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Mamimi Tanaka
田中摩美々の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Mamimi Tanaka
田中摩美々をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Mamimi Tanaka as a Center, play Grade Fes Level 2 or above"
田中摩美々をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Mamimi Tanaka as a Center, play Grade Fes Level 2 or above 3 times"
田中摩美々をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Mamimi Tanaka as a Center, play Grade Fes Level 3 or above"
田中摩美々を含めた編成で営業を1回しよう,Have Mamimi Tanaka complete 1 Job
田中摩美々を含めた編成で営業を5回しよう,Have Mamimi Tanaka complete 5 Jobs
田中摩美々を含めた編成で営業を10回しよう,Have Mamimi Tanaka complete 10 Jobs
田中摩美々を含めた編成で営業を20回しよう,Have Mamimi Tanaka complete 20 Jobs
田中摩美々をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Mamimi Tanaka with 400 or more Vocal
田中摩美々をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Mamimi Tanaka with 400 or more Dance
田中摩美々をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Mamimi Tanaka with 400 or more Visual
田中摩美々をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Mamimi Tanaka with 400 or more Mental
田中摩美々をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Finals with Mamimi Tanaka
田中摩美々をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans in one Produce run with Mamimi Tanaka"
田中摩美々をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans in one Produce run with Mamimi Tanaka"
田中摩美々をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans in one Produce run with Mamimi Tanaka"
白瀬咲耶をホームユニットに編成しよう,Place Sakuya Shirase in your home unit
白瀬咲耶を1回プロデュースしよう,Produce Sakuya Shirase 1 time
白瀬咲耶を2回プロデュースしよう,Produce Sakuya Shirase 2 times
白瀬咲耶を3回プロデュースしよう,Produce Sakuya Shirase 3 times
白瀬咲耶を5回プロデュースしよう,Produce Sakuya Shirase 5 times
白瀬咲耶をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Sakuya Shirase
白瀬咲耶をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Sakuya Shirase
白瀬咲耶の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Sakuya Shirase
白瀬咲耶の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Sakuya Shirase
白瀬咲耶の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Sakuya Shirase
白瀬咲耶の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Sakuya Shirase
白瀬咲耶をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Sakuya Shirase as a Center, play Grade Fes Level 2 or above"
白瀬咲耶をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Sakuya Shirase as a Center, play Grade Fes Level 2 or above 3 times"
白瀬咲耶をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Sakuya Shirase as a Center, play Grade Fes Level 3 or above"
白瀬咲耶を含めた編成で営業を1回しよう,Have Sakuya Shirase complete 1 Job
白瀬咲耶を含めた編成で営業を5回しよう,Have Sakuya Shirase complete 5 Jobs
白瀬咲耶を含めた編成で営業を10回しよう,Have Sakuya Shirase complete 10 Jobs
白瀬咲耶を含めた編成で営業を20回しよう,Have Sakuya Shirase complete 20 Jobs
白瀬咲耶をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Sakuya Shirase with 400 or more Vocal
白瀬咲耶をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Sakuya Shirase with 400 or more Dance
白瀬咲耶をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Sakuya Shirase with 400 or more Visual
白瀬咲耶をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Sakuya Shirase with 400 or more Mental
白瀬咲耶をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Finals with Sakuya Shirase
白瀬咲耶をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans in one Produce run with Sakuya Shirase"
白瀬咲耶をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans in one Produce run with Sakuya Shirase"
白瀬咲耶をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans in one Produce run with Sakuya Shirase"
三峰結華をホームユニットに編成しよう,Place Yuika Mitsumine in your home unit
三峰結華を1回プロデュースしよう,Produce Yuika Mitsumine 1 time
三峰結華を2回プロデュースしよう,Produce Yuika Mitsumine 2 times
三峰結華を3回プロデュースしよう,Produce Yuika Mitsumine 3 times
三峰結華を5回プロデュースしよう,Produce Yuika Mitsumine 5 times
三峰結華をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Yuika Mitsumine
三峰結華をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Yuika Mitsumine
三峰結華の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Yuika Mitsumine
三峰結華の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Yuika Mitsumine
三峰結華の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Yuika Mitsumine
三峰結華の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Yuika Mitsumine
三峰結華をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Yuika Mitsumine as a Center, play Grade Fes Level 2 or above"
三峰結華をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Yuika Mitsumine as a Center, play Grade Fes Level 2 or above 3 times"
三峰結華をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Yuika Mitsumine as a Center, play Grade Fes Level 3 or above"
三峰結華を含めた編成で営業を1回しよう,Have Yuika Mitsumine complete 1 Job
三峰結華を含めた編成で営業を5回しよう,Have Yuika Mitsumine complete 5 Jobs
三峰結華を含めた編成で営業を10回しよう,Have Yuika Mitsumine complete 10 Jobs
三峰結華を含めた編成で営業を20回しよう,Have Yuika Mitsumine complete 20 Jobs
三峰結華をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Yuika Mitsumine with 400 or more Vocal
三峰結華をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Yuika Mitsumine with 400 or more Dance
三峰結華をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Yuika Mitsumine with 400 or more Visual
三峰結華をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Yuika Mitsumine with 400 or more Mental
三峰結華をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Finals with Yuika Mitsumine
三峰結華をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans in one Produce run with Yuika Mitsumine"
三峰結華をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans in one Produce run with Yuika Mitsumine"
三峰結華をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans in one Produce run with Yuika Mitsumine"
幽谷霧子をホームユニットに編成しよう,Place Kiriko Yukoku in your home unit
幽谷霧子を1回プロデュースしよう,Produce Kiriko Yukoku 1 time
幽谷霧子を2回プロデュースしよう,Produce Kiriko Yukoku 2 times
幽谷霧子を3回プロデュースしよう,Produce Kiriko Yukoku 3 times
幽谷霧子を5回プロデュースしよう,Produce Kiriko Yukoku 5 times
